[00:02:37] Directory ready: /home/alexk/record/temp_recovery
[00:02:37] Directory ready: /home/alexk/data
[00:02:37] Directory ready: /home/alexk/archive
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_000000.ubx to rnx
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_010000.ubx to rnx

DATE/TIME           | C | EPOCH / FILE            | SITE | T | MESSAGE
2026-02-26 00:02:40 | W | 2022-02-10 00:43:36.999 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 00:43:36.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:44:12.999 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:44:12.999 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:44:12.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:44:41.999 | ANTC | O | format error (dot-check) for prn G12 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:44:41.999 | ANTC | O | mismatch of number of satellites(37) and records got(36) 2022-02-10 00:44:41.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:47:02.999 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:47:02.999 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:47:02.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:48:05.999 | ANTC | O | format error (dot-check) for prn G02 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:48:05.999 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:48:05.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:48:41.999 | ANTC | O | format error (dot-check) for prn R20 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:48:41.999 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:48:41.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:52:43.000 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:52:43.000 | ANTC | O | mismatch of number of satellites(38) and records got(37) 2022-02-10 00:52:43.0000000 !
2026-02-26 00:02:41 | W | 2022-02-10 00:53:37.000 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
